AES-128 test cases:

#10;
 state = 128'h7369c667ec4aff51abbacd2946e3fbf2;
key =      128'hf854c27c8de7e81b632e5a769ac99f33;


#10;
 state = 128'hb70d32665aa3583117055d25d45ee958;
key =      128'hc6cdb2ab1154b49b4174820e87dc3d21;


#10;
 state = 128'ha13ee97067fce141977e013e966bdcea;
key =      128'h2a5c388ffb3bb0ec543caf325cdb18ec;


#10;
 state = 128'h43fe1a023aaafafbe6d129fb947c3c05;
key =      128'h61bed875bb5cf989950f99a8b3f1ebb1;


#10;
 state = 128'h00f7ef05e53aa1e9d0cb0bcabd644748;
key =      128'ha81e231fc5647b1cc55a731463794b5e;


#10;
 state = 128'h2464703bdc099e11f2acd4aa3baf101b;
key =      128'h50e3cd335c15474819226fbbf57d9bba;


#10;
 state = 128'h1c1ae10b29f8237f131ba4f8e84ecab5;
key =      128'he0383298343d4d79774e5fbc056ccbfa;


#10;
 state = 128'h2b2186aca2551aaa73b570bed35c043b;
key =      128'hafb394369ee4f0e24915324fa94e82fd;


#10;
 state = 128'hb2d470084854298ad5bc0a9a44a8180e;
key =      128'h8ef35bac9b2dd74c06e54209cdaf33c4;


#10;
 state = 128'h2d7f84a34776d4adec1c32def630c44a;
key =      128'h6c8523200407b2fbb90becf4c386ba20;


#10;
 state = 128'hecf1053eb73367d9e3a3509934d9d314;
key =      128'hf2a05ef705f6a810b4be0194fa7844bc;


#10;
 state = 128'h23e6694969da1ad07e4c7e6a48b32551;
key =      128'h943a5384909931fbee445732e5e9bc9b;


#10;
 state = 128'hf508cf25535ee2e9b2d2aa6054fa85d0;
key =      128'hd4e835d8986482667587a8d98a5a7065;


#10;
 state = 128'h2980623fa57cde4459574e89acad51d3;
key =      128'hec809586f185e417f1660c8cbb7cc07c;


#10;
 state = 128'h66e4fc22630b61da83bc62af3a2f69b4;
key =      128'h1627afff1f07ac9334116db84fef8d2d;


#10;
 state = 128'h63b6d489e4c7c135d8678324ec1296ed;
key =      128'hd80239459df80ae5a5d109771ff4c196;


#10;
 state = 128'hca82aa9590ae496cba6816cdf2a67aac;
key =      128'h99caa8b42a37c2b261cf08cb5e80c3c9;


#10;
 state = 128'hda28036e196ad74c99d3d2ed008b794c;
key =      128'hd49a5622e4fed118a345cdd9ff01c691;


#10;
 state = 128'h15d92ac9ee2f4301618702159e62137c;
key =      128'h8172fc69a66571cdcf49ab3e3ace4b71;


#10;
 state = 128'h764fa775ff647eeafd61eb81679bc3fe;
key =      128'h8ce90dbfbd324e7e6a8c7cf93ca45bc7;


#10;
 state = 128'hedb2f402f3ec167200f04d01cf678b10;
key =      128'h175b509998d48e9fd103610abe0da7bc;


#10;
 state = 128'h0eabbf9bd60198d5f6d6f2e516c53e7d;
key =      128'h2d2e218eb9c602af1f8ac9630cde9770;


#10;
 state = 128'h2b1a895607011b218bfdd80da4a1c216;
key =      128'h92d2cfe3354b98d2d155d561c2dd336c;


#10;
 state = 128'hdeedf7bc20e5ef13ddabe2c788814da4;
key =      128'hee1a531c4c2466eba81e793b686afbac;


#10;
 state = 128'h064658f30e262b47b2ebd20d3b3a6c1f;
key =      128'hab2a54c0f6f84eba739e16c704db0811;


#10;
 state = 128'ha70a22605bb5314d220da003cd5d470d;
key =      128'h5678879b9c4c70d5980fea86539cebf2;


#10;
 state = 128'h5afaa70ddbb5b0d85dfdc250a52a5a09;
key =      128'hb7fba3e29a544713233263315b76ce4e;


#10;
 state = 128'h4db6717571286b2137cf252e62dcf980;
key =      128'hb019d79c4f4a6d1e1f737cd1c07be94a;


#10;
 state = 128'h7b0d315acaed369cdb02bc5b523ddeb5;
key =      128'hd40257b695244cc412b597c8dbd23080;


#10;
 state = 128'hfd56e06171c84316b54dcaff5e078aa8;
key =      128'ha63309e11d3b57556e2ff0ee81490220;


#10;
 state = 128'hf87fa0e2e36947e3b998b61122189f41;
key =      128'hfdc84ba8901a04a215fe49f42d96484b;


#10;
 state = 128'hcb2515e86dae8f5c862746458da93fe5;
key =      128'h2c8a718a6abca475397fbaeeea671502;


#10;
 state = 128'h87b68c2b61f5641b90e71cabe51e905b;
key =      128'h7711a8023be1cd4d8a746087a174db76;


#10;
 state = 128'h83282a683ae41d8f94cacc395e79e85c;
key =      128'hded68a91df19b7578e698d18d12fdd69;


#10;
 state = 128'h97545708aed1397561439b0515c0bc84;
key =      128'h9ef39647657d0c4d02f3e699ccd322c4;


#10;
 state = 128'hef63287a669d346153c7e0cfe468879d;
key =      128'h6b825b1d01d00067aa03c4e66076d7e6;


#10;
 state = 128'h604fd9ffddc6ed0d6a308dcd324e9915;
key =      128'h5c9dd1f4b75d6ed1186260323679d837;


#10;
 state = 128'hbf96c8b2839c5cb5ffedcdea5a313c66;
key =      128'hdeb6cf0d6f95133dab87f77482e200d0;


#10;
 state = 128'h7e4178c9bf01ded511beefab386bef2b;
key =      128'hfb1622bea96aab357355f2a3bbf537f2;


#10;
 state = 128'h843a36afbf433b1455d0012aaf8d3cf1;
key =      128'h93aba35ef23d154ffa65920778b55ac9;


#10;
 state = 128'ha5fdef905564402b33ab3542cfe23871;
key =      128'h2b628ddcaa1d9fa3faa482316c735adc;


#10;
 state = 128'h74117049f2ca76b01c2575ab89eb08ad;
key =      128'h38b44d951ee3d1ed2f1987532b9c8ce1;


#10;
 state = 128'hac9fadfcce9f69238ceac4de6215d5cc;
key =      128'h109aca23ef2e7d9be61e4705cf11bad3;


#10;
 state = 128'h8b7cb168f95a1b1aac8544df3d0e9a1a;
key =      128'h004da8642bef7b2696110dc3306623c8;


#10;
 state = 128'heebbe2d4dce715fd74886c5a6bb19607;
key =      128'h656bfe3f3c905a7930d3a168986039c4;


#10;
 state = 128'h18871b1b8bf46e31e2ff7ddb524db013;
key =      128'h27b7b9ae7b644713adab37e98b460b70;


#10;
 state = 128'h58a3cd2716e3973b28f8e214407a4692;
key =      128'h126732ff628ecb79721039026cfd5645;


#10;
 state = 128'h5ec4a0234c75a7381b746d89b25befb3;
key =      128'h9ac5c22190fd538ed1030d8c863d0063;


#10;
 state = 128'hd9e401a1312559a87a4c9ac7aa2da789;
key =      128'hf844f26ad1884145b1a38b4e2d37e08c;


#10;
 state = 128'h8a061ce23cbc2b754eb708c51af8e4b0;
key =      128'h1b123dd6cdec9a7eb27e8f2652dfb670;


#10;
 state = 128'h47dce5d2d684981051243ba1f56b1d1f;
key =      128'hd8107d5a3da5fc17fcef248cac4eceda;


#10;
 state = 128'hc4f32ab3649a77c3d1b5beb235c620db;
key =      128'hb40ed69d5ff2b3d3b15be1d7635da9b0;


#10;
 state = 128'h962751d37bfac1c85b4caf806c9113cf;
key =      128'hbc219fe92a1b1352a4db76f4f308391f;


#10;
 state = 128'h52892f8a71cd84f103cc1a33166f5d2d;
key =      128'h4fd390fc9879eea3843c54651777448d;


#10;
 state = 128'h656a0174b8d637857ebba251fc952b00;
key =      128'h5f4b68bbbbf7c456a6403319ecbeb778;


#10;
 state = 128'h3d5128b8b1f6275fc92fb1c998c6c4dc;
key =      128'h83f7112cef3eeed699957e21ee855336;


#10;
 state = 128'hdb2cd67bc78c22fdb090bbd3ac485680;
key =      128'h3e2f3f684e2d6e2d22e8c2ec91116d16;


#10;
 state = 128'h416c3d443208f85f34e299b457e02aef;
key =      128'h969510696ae5c27e9b8dcd857e2c9e3a;


#10;
 state = 128'h3ac099db456cc89151794f61e3a85a79;
key =      128'he8793e6a85525e006620df2b58e44d7d;


#10;
 state = 128'h7792a4e6cebdff6dc71f364efaaac890;
key =      128'h06e22406ae8c35829214ac14dfeaf8f9;


#10;
 state = 128'h0a577d9dcad8147cdb91f84ac6d53cc0;
key =      128'he2ccb860019058edfe93a4053ade7e9d;


#10;
 state = 128'h774435fb93411c49d46ed2146e9a440e;
key =      128'he95167fcc4eae1bf23c37e86f75da1fc;


#10;
 state = 128'h1f6ea1d6d2b2afbd90a6218161fe4165;
key =      128'h674a4fa8b72c3431aedaefb266a53790;


#10;
 state = 128'h958513d8446737c2bdd40e58f71ed24f;
key =      128'h535e68224f0a8a9d09fee479f36fa31b;


#10;
 state = 128'h7988f4b784bdf02c4d4291fe86446064;
key =      128'h66d9a2c9a6b5e32de2b0b3c70ed51f57;


#10;
 state = 128'h40875d144bc4454d3a9806d630c0dc67;
key =      128'hac96997f43524b7c562502ff3664fa22;


#10;
 state = 128'ha576eb5807f13a30a8418941e5d80266;
key =      128'h18916e9bb85be3b9080e81e6d33e727b;


#10;
 state = 128'h8e79b45e2f956aee59d7d7f3743eafd9;
key =      128'hd78ccf1d998fe8b3e4a19e696eb8df10;


#10;
 state = 128'h81fd31938eb1929b42e8886955b72638;
key =      128'ha92c43f69442bc2b6a79e35a55d931c2;


#10;
 state = 128'hfdd6d662d28b876848147310909dcb9a;
key =      128'h3a39ca0fe0cf7b86204a485edb752379;


#10;
 state = 128'h62d84bf9e33463d3712b48d72301c814;
key =      128'h185d3a9213f82cb5ed33437460c8a866;


#10;
 state = 128'hc6c2a0f3dba9f604524cd43e2f754d9d;
key =      128'h3c48d387744f40ffea6182831d4a2a2a;


#10;
 state = 128'hcee40cca40a98d02ff93f562c92e0842;
key =      128'hdb0576db3a4f54b70024b0d6a51e6eda;


#10;
 state = 128'h7c73027af1bd1d8f55f05012341e1f58;
key =      128'h4c0f24954f875e78e94fab0e948e6d1a;


#10;
 state = 128'hff11016f31f0ce1e7686e11e95aaa400;
key =      128'h41e2b9c8269069172e0fdf14bcc39d4d;


#10;
 state = 128'hbdbbd49ec0eeaca28d36748de122e118;
key =      128'hb222049a82d8b26ddeb0e791229b7384;


#10;
 state = 128'he9df56478fa9cd025a1ce0415b3b3fc1;
key =      128'hb10d5d43a033e50f507fe3cc9e731a57;


#10;
 state = 128'h7388527061023120d2bb1f11a12ef65e;
key =      128'h62523b53ed038521c03e82690c5eb19c;


#10;
 state = 128'h237fe60329858218fffc40a18aa02a37;
key =      128'h86edf365e174f0780ea1b272661a0063;


#10;
 state = 128'hfe8a9ae6bd280f1c86bc244fb3115c4e;
key =      128'hc83afe4f60a9aeeec36e4b603129884b;


#10;
 state = 128'h3e30b32212fb58c2ca98b77c637da914;
